=== WINDOWS SERVICES ===
NAME                      STATE      VERSION              RISK       PATH
------------------------------------------------------------------------------------------------------------------------
ALG                       Stopped    10.0.26100.1150      Low        C:\WINDOWS\System32\alg.exe
AppIDSvc                  Stopped    10.0.26100.1150      Low        C:\WINDOWS\system32\svchost.exe
Appinfo                   Running    10.0.26100.1150      Low        C:\WINDOWS\system32\svchost.exe
AppMgmt                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
AppReadiness              Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
AppVClient                Stopped    10.0.26100.1882      Unknown    C:\WINDOWS\system32\AppVClient.exe
AppXSvc                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
ApxSvc                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
AssignedAccessManagerSvc  Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
AudioEndpointBuilder      Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
Audiosrv                  Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
autotimesvc               Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
AxInstSV                  Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
BDESVC                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
BFE                       Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
BITS                      Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
brave                     Stopped    Path not found       Unknown    C:\Program
BraveElevationService     Stopped    Path not found       Unknown    C:\Program
bravem                    Stopped    Path not found       Unknown    C:\Program
BrokerInfrastructure      Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
BTAGService               Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
BthAvctpSvc               Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
bthserv                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
camsvc                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
CDPSvc                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
CertPropSvc               Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
ClickToRunSvc             Running    Path not found       Unknown    C:\Program
ClipSVC                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
cloudidsvc                Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
COMSysApp                 Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\dllhost.exe
CoreMessagingRegistrar    Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
cphs                      Running    9.2.1.920            Unknown    C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_51f685305808e3a5\IntelCpHeciSvc.exe
cplspcon                  Running    31.0.101.2111        Unknown    C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_51f685305808e3a5\IntelCpHDCPSvc.exe
CryptSvc                  Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
CscService                Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
DcomLaunch                Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
dcsvc                     Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
debugregsvc               Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
defragsvc                 Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
DeveloperToolsService     Stopped    10.0.26100.1882      Unknown    C:\WINDOWS\System32\DeveloperToolsSvc.exe
DeviceAssociationService  Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
DeviceInstall             Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
DevQueryBroker            Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
Dhcp                      Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
diagsvc                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
DiagTrack                 Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
DialogBlockingService     Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
